Key,Item Type,Author,Title,Publication Title,Publication Year,Volume,Issue,Pages,DOI,ISSN,ISBN,Url,Publisher
8V5PMB9C,conferencePaper,"Prajwalasimha, S.N.; Shelke, N.; Saini, D.K.J.B.; Balla, R.; Nixon, J.S.; Pimpalkar, A.","Federated Deep Learning for DDoS Detection in IoT: Case Studies, Challenges, and Practical Insights",,2025,,,1113–1118,10.1109/ICoICI65217.2025.11253371,,,https://www.scopus.com/pages/publications/105030318797?origin=resultslist,
9HY282ZP,conferencePaper,D. Adhikari; H. K. Karki; N. Shrestha,Immune-Inspired Malware Detection Algorithm for Edge-Based Industrial IoT Cybersecurity Protection,2025 International Conference on Intelligent Innovations in Engineering and Technology (ICIIET),2025,,,1–5,10.1109/ICIIET65921.2025.11378681,,,,
98CAPWTD,journalArticle,"Bharti, S.; McGibney, A.",Privacy-Aware Resource Sharing in Cross-Device Federated Model Training for Collaborative Predictive Maintenance,IEEE Access,2021,9,,120367–120379,10.1109/ACCESS.2021.3108839,,,https://www.scopus.com/pages/publications/85114703677?origin=resultslist,
9HVH64R8,conferencePaper,"Gehrer, R.; Dumss, S.; Gast, F.; Wünschel, W.; Schwill, F.; Šoša, M.; Zhou, S.; Ristow, G.H.; Gharagyozyan, T.; Heistracher, C.; Grafinger, M.; Weigold, M.",EuProGigant: A decentralized Federated Learning Approach based on Compute-to-Data and Gaia-X,,2024,128,,710–715,10.1016/j.procir.2024.07.060,,,https://www.scopus.com/pages/publications/85208782713?origin=resultslist,
9NKIZJ2W,journalArticle,"Xiao, X.; Alharbi, K.; Zhang, P.; Qin, H.; Yue, X.",Bayesian federated causal inference and its application in manufacturing,Journal of Intelligent Manufacturing,2025,,,,10.1007/s10845-025-02665-7,,,https://www.scopus.com/pages/publications/105012399778?origin=resultslist,
9HRC7YX6,journalArticle,"Shawkat, Mai; El-desoky, Ali; Ali, Zainab H.; Salem, Mofreh",Blockchain and federated learning based on aggregation techniques for industrial IoT: A contemporary survey,Peer-to-Peer Networking and Applications,2025,18,4,,10.1007/s12083-025-01991-0,1936-6450,,http://dx.doi.org/10.1007/s12083-025-01991-0,Springer Science and Business Media LLC
9VWM687T,journalArticle,"Ramesh, K.; Indrajith, M. N.; Prasanna, Y. S.; Deshmukh, Sandip S.; Parimi, Chandu; Ray, Tathagata",Comparison and assessment of machine learning approaches in manufacturing applications,Industrial Artificial Intelligence,2025,3,1,,10.1007/s44244-025-00023-3,2731-667X,,http://dx.doi.org/10.1007/s44244-025-00023-3,Springer Science and Business Media LLC
A9MG9ZMR,journalArticle,"Bashynska, Iryna",Ethical aspects of AI use in the circular economy,AI &amp; SOCIETY,2025,41,1,575–593,10.1007/s00146-025-02436-1,1435-5655,,http://dx.doi.org/10.1007/s00146-025-02436-1,Springer Science and Business Media LLC
A3DCY5W7,journalArticle,"Archibong, Enobong; Asuquo, Philip; Stephen, Bliss","Review of zero-click attacks and zero-trust security model: concepts, architecture, state of the art, and future directions",Discover Networks,2026,2,1,,10.1007/s44354-026-00023-4,3004-9792,,http://dx.doi.org/10.1007/s44354-026-00023-4,Springer Science and Business Media LLC
A7E8H8C3,journalArticle,"Zheng, Leiqing; Sarkar, Arindam; Noorwali, Abdulfattah; Mohammad, Alsharef",Artificial Complex-Valued Neural Processing Using Memristive Hyperchaotic Synchronization,Neural Processing Letters,2025,57,3,,10.1007/s11063-025-11772-8,1573-773X,,http://dx.doi.org/10.1007/s11063-025-11772-8,Springer Science and Business Media LLC
92TNXRMU,journalArticle,"Zulqarnain, Rana Muhammad; Hameed, Muhammad Shazib; Saeedi, Ghulamullah; Hashmi, Muntazim Abbas; Noreen, Eman; Kamran, Muhammad; Simic, Vladimir",Federated edge-AI for reliable and privacy-preserving pipeline leak detection in drone swarms using neutrosophic sugeno-weber norms,Scientific Reports,2026,16,1,,10.1038/s41598-026-42794-4,2045-2322,,http://dx.doi.org/10.1038/s41598-026-42794-4,Springer Science and Business Media LLC
A5WS6I5N,journalArticle,"Wong, Wai Kit; Baskar, S.; Abubeker, K. M.; Ng, Poh Kiat",Sustainable cyber-physical VANETs with AI-driven anomaly detection and energy-efficient multi-criteria routing using machine learning algorithms,Scientific Reports,2025,15,1,,10.1038/s41598-025-28212-1,2045-2322,,http://dx.doi.org/10.1038/s41598-025-28212-1,Springer Science and Business Media LLC
9YTN3PS4,journalArticle,"Xu, Fengbo; Wei, Xinle; Zhao, Zhiyuan; Sun, Peng",Optimization of cross-institutional medical federated learning framework driven by confidential computing,Scientific Reports,2026,16,1,,10.1038/s41598-026-44843-4,2045-2322,,http://dx.doi.org/10.1038/s41598-026-44843-4,Springer Science and Business Media LLC
8TEPDNDH,journalArticle,"Upender, Talluri; Neelakantappa, M.; Rao, C. Prakasa; Gera, Jaideep; Reddy, Vuyyuru Lakshma; Yamsani, Nagendar",CyberDetect MLP a big data enabled optimized deep learning framework for scalable cyberattack detection in IoT environments,Scientific Reports,2025,15,1,,10.1038/s41598-025-24459-w,2045-2322,,http://dx.doi.org/10.1038/s41598-025-24459-w,Springer Science and Business Media LLC
AFVNVIRN,journalArticle,"Swathi, K.; Durga, Putta; Prasad, K. Venkata; Chaitanya, Atmakuri Krishna; Santhi, Kuraganti; Vidyullatha, P.; Rao, S. Venkata Achuta",Secure blockchain integrated deep learning framework for federated risk-adaptive and privacy-preserving IoT edge intelligence sets,Scientific Reports,2025,15,1,,10.1038/s41598-025-24895-8,2045-2322,,http://dx.doi.org/10.1038/s41598-025-24895-8,Springer Science and Business Media LLC
9UARHU5R,journalArticle,"Shorten, Connor; Khoshgoftaar, Taghi M.; Furht, Borko",Deep Learning applications for COVID-19,Journal of Big Data,2021,8,1,,10.1186/s40537-020-00392-9,2196-1115,,http://dx.doi.org/10.1186/s40537-020-00392-9,Springer Science and Business Media LLC
9235KUH7,journalArticle,"Sinha, Priyanshu; Sahu, Dinesh; Prakash, Shiv; Rathore, Rajkumar Singh; Dixit, Pratibha; Pandey, Vivek Kumar; Hunko, Iryna",An efficient data driven framework for intrusion detection in wireless sensor networks using deep learning,Scientific Reports,2025,15,1,,10.1038/s41598-025-12867-x,2045-2322,,http://dx.doi.org/10.1038/s41598-025-12867-x,Springer Science and Business Media LLC
8UMRZK8A,journalArticle,"Sureshkumar, Aanjankumar; Shanmugam, Poonkuntran; Mal, Sandip; Malviya, Lokesh; Jadhav, Akshay",Attention based CNN-transformer ensemble for multiclass botnet detection in industrial IoT networks,Discover Computing,2026,29,1,,10.1007/s10791-026-09987-x,2948-2992,,http://dx.doi.org/10.1007/s10791-026-09987-x,Springer Science and Business Media LLC
988HMSVR,journalArticle,"Qin, Rongting; Zi, Xiaojie; Ge, Xiaoxi",Digital twin-based intelligent risk assessment and decision support system for university student entrepreneurial projects,Scientific Reports,2026,16,1,,10.1038/s41598-026-36111-2,2045-2322,,http://dx.doi.org/10.1038/s41598-026-36111-2,Springer Science and Business Media LLC
94L5WK8E,journalArticle,"S, Munusamy; K R, Jothi",Blockchain-enabled federated learning with edge analytics for secure and efficient electronic health records management,Scientific Reports,2025,15,1,,10.1038/s41598-025-12225-x,2045-2322,,http://dx.doi.org/10.1038/s41598-025-12225-x,Springer Science and Business Media LLC
AANPKJRI,journalArticle,"Nadimi, Fardis; Abdisarabshali, Payam; Borazjani, Kasra; Chakareski, Jacob; Hosseinalipour, Seyyedali",Multi-modal multi-task federated foundation models for next-generation extended reality systems: towards privacy-preserving distributed intelligence in AR/VR/MR,npj Wireless Technology,2025,1,1,,10.1038/s44459-025-00003-0,3059-4391,,http://dx.doi.org/10.1038/s44459-025-00003-0,Springer Science and Business Media LLC
